sentiment,comment
negative,"mình vẫn thích kính ko cong hơn , vì kiểu j cũng phải dán màn_hình
"
neutral,"cho mình hỏi sử_dụng digital_touch như nào vậy . thấy họ vào mục contac thì_có 3 phần là gọi điện , digital touch , nhắn_tin . mà mình ko có digital_touch
"
positive,"Note_4 xài vẫn ngon : 3
"
negative,"Apple cũng tham_gia sản_xuất Android à ?
"
neutral,"mình cũng đang xài 1s hehe  
"
negative,"Sam hay Apple cũng đều hết trò , mỗi năm ra mẫu mới cũng chỉ là nâng cấu_hình .
"
negative,"Không biết ông Zen này như nào chứ mấy ông Zen trước thì ... đuối như trái chuối .
"
negative,"Chứ không phải IOS ngày_càng nặng_nề nên phải tăng RAM gấp để chạy hử ? Nếu màn 2K chắc pin đã yếu nay còn yếu hơn_nữa nhỉ : )
"
neutral,"Vãi giá  
"
neutral,"chưa vội mua , chờ thế_hệ 2 ^ ^  
"
positive,"Ngon quá nhỉ , kiếm chỗ để order thôi  
"
negative,"Quá đắt cho 1 cuộc tình . Cái màn_hình chỉ đáng 200 $ . Nếu bỏ thêm tới 300 $ thì tôi kì_vọng phải có pin đủ xài 5 tiếng .  
"
negative,"Ko thể cài thêm game mới là ko ổn rồi .  
"
positive,"kết_quả led của em nó quá .  
"
negative,"Uh . Nếu coi tít báo rồi thấy cái nào_hay thì mở ip ra coi . Nhưng nói_chung mình cảm_thấy sau 1 tg dùng thì sẽ chẳng coi tin trên aw đâu , mà chủ_yếu nhận noti sms , email , time là chính . Ngay cả cái thời_tiết hay nhịp tim cũng chẳng quan_tâm mấy đâu . Sau_này thời_lượng pin với cả màn_hình aw to lên nữa thì mới nhiều ứng_dụng đc . Hiện_tại mình thấy ko cần co dù mình sống ở úc . .  
"
neutral,"Khi nào hiện tên người gọi thì ngon . Chắc lúc ấy sẽ mua  
"
positive,"con này với e 8 đều oke nhé b . gpu trên e này đủ xài game vài năm nữa  
"
neutral,"e mới sắm đc một em dư này xong thấy rất là ok luôn ý : * đeo đi tập quá là ok ) mà giá lại rẻ nữa hí hí http : / / pintot.vn/sac-vong-deo-tay-xiaomi-thong-minh-47 share linh cho các a muốn mua em này  
"
neutral,"Mình vừa mua hôm_nay , chả thấy giật gì cả . Trươc mua cũng có đọc topic này và tìm_hiểu trên các trang nước_ngoài . Đa_số đều bị giật do thằng bluetooth Macbook co vấn_đề với wifi , tắt wifi la ko giật . Một_số bác và riêng mình thi dung El_Captian_10.11.3 hoàn_toàn ko thấy giật kể_cả kết_nối wifi .
"
neutral,"Đưa mình xài giúp cho bác , vứt chi_phí vậy ?  
"
neutral,"giá gốc đã trên 500k rồi bác , về VN chắc gần 550k với cả 22 $ là làm_tròn xuống rồi , vì nó tận 149 tệ cơ_mà sao có 22 $ đc  
"
positive,"dây leather loop đẹp với êm tay nhất các bác nhỉ  
"
negative,"Không thay_đổi gì ngoài ram và chụp hình . Cạn ý_tưởng
"
positive,"Rẻ rùi để giành tiền mua ip_3 thôi
"
neutral,"Mình chẳng mua mấy cái đầu_tiên ra_đời . Thường chỉ mua cái thứ 2 . Vì sản_phẩm đầu_tiên bao_giờ cũng là sự thăm_dò dư_luận . Aw cũng ko phải ngoại_lệ . Bản năm sau hi_vọng ngon hơn về pin và tính_năng . He_he
"
positive,"đã sài thử cả hết các rom wm_5_cingguler , wm6 . o , wm6 . 1 . nói_chung là ổn không có gì phải suy_nghĩ . máy cho đữa bạn mượn rồi các bạn thử up đi dễ_ợt mà . có một điều quan_trọng là wm_6 . o beta_6 và wm_6.1 thì không có java không cài được ứng_dụng java còn wm 6 . o beta_2 thì_có java nhưng bị một_số lỗi về icon cũng chả sao cả máy vần dùng ổn_định thêm nhiều ứng_dụng tốc_độ nhanh , thêm nữa_là nghe nhạc hay hơn ăn ít pin hơn  
"
negative,"xấu xấu lắm . ip ra cái gì cũng xâu . nhưng tại_sao xấu mà các hãng khác lại học theo vậy .
"
positive,"Em đồng_ý với bác luôn đó , thời này samsung nó ăn_đứt các hãng khác luôn rồi à , từ thiết_kế đến tiện_ích tính_năng
"
positive,"Đỉnh của đỉnh
"
negative,"Lúa_mì hay rớt ứng_dụng web , chán quá đây , khổ_nỗi chưa có tiền đổi
"
neutral,"h thấy nhiều đại_lí phân_phối cho Mi mà bác chờ vài hôm là có hàng thôi  
"
positive,"Trời ! Chức_năng hay nhất mà mình thích trên i_Phone
"
positive,"Cũng đúng , chuột , xài cả chục con , tá lả thương_hiệu , nhưng cuối_cùng con vác đi mọi nơi vẫn là con Xornet , không đau cổ_tay , cho_dù xài nhiều .  
"
positive,"Ngày_xưa mình hay đợi iphone mới ra mua bây giơ iphone không còn thu vi nữa ... đang sài s_7_edge rất thích mà giờ thấy NOTE 7 ngon wa chất phải đổi nữa wa ...
"
positive,"Chắc_chắn sẽ mua e này . Quả_thật xiaomi đang tạo cho m_1 hệ_sinh_thái tuyệt_vời . Cái j cũng thấy sx & đều kết_nối đc vs nhau . Đã xài miband_1 , đang xài mi_box , cam ip , loa ... Chất_lượng & giá thì khỏi bàn . Lo mỗi cái an_ninh cho quốc_gia  
"
neutral,"lên mạng ít thông_tin người dùng của em này quá , toàn note_3_pro , mà màn to thì ko thik , mình vẫn phân_vân em này và em m_7_dual_sim
"
neutral,"ha , ko rõ bạn hỏi với mục_đích gì vậy , với tay mình là 16,5 cm  
"
neutral,"120 gb nói làm_gì . mình mua dung_lượng cao để xem phim 4k cho đã  
"
negative,"﻿Đã là cao_cấp lại còn tiết_kiệm không_gian màn_hình làm phím bấm , dùng mới thấy khó_chịu thế_nào . Dòng Android nên làm phím home cứng bấm vào để chủ_động bật_tắt phím điều_khiển .
"
negative,"﻿Xấu hơn S6_active . nhưng nếu về VN mình chọn S7_active vì hình_như em nó hỗ_trợ thẻ nhớ . trước lăn_tăn S6_active nhưng không có thẻ nhớ nên thôi : ) )
"
positive,"mua cho vợ dùng được gần 3 tháng rồi , nó chạy rất ổn , wifi ngon , pin trâu hơncon G2 của mình . Phải nói là đây là con SS đẹp nhất mình tùng gặp ( Alpha và Note_4 thì không biết )  
"
negative,"﻿Tính về thiết_kế ko có gì đột_phá cả , thậm_chí camera nhìn còn xấu hơn iphone_6s nhiều , , ,
"
negative,"﻿Hạ mật_độ điểm_ảnh xuống ở chế_độ Mid nhưng vẫn ngang với mật_độ điểm_ảnh của Iphone_6s_plus . Sợ rằng ở chế_độ này Iphone ngửi khói cả về tốc_độ lẫn thời_lượng pin .
"
neutral,"Chắc đ / c mua bản đời 1 mã 69 rồi , loại này chỉ có 1 màu thôi  
"
positive,"thích note_5 nhưng chưa có tiền mua
"
positive,"Đang chờ_mong em nó ! Hi_vọng e nó có_thể tuỳ chọn 2sim hoặc 1sim 1thẻ nhớ như con S7 , S7edge ! ! !
"
positive,"Tivi giờ mua nhất_định phải mua Samsung . Model_j_6300 32 inch màn_hình cong coi rất sắc nét , màn_hình 1 tỷ màu , kiểu_dáng nhìn rất sang chảnh . Bác cố thêm chút mua con này ngon hơn con j_5500 nhiều .
"
neutral,"đâu ra con hàng tàu đc phong làm best sw vậy , seeding vừa thôi , LG_Urbane_2nd_LTE còn chưa dám nhận , ChịNá đừng từ phong như_vậy nhé .
"
neutral,"Tại trước đó kết_nối mãi ko được nên mới thử các máy khác . Đã unpair rồi mà vẫn ko được . Ko biết bị gì nữa . Mua về mình dùng mà ngta kết_nối được còn mình thì ko . Ko lẽ đem tặng ngta chớ  
"
negative,"Viên pin ít quá . Pin 3.200 mah thì quá ngon .
"
negative,"Nhìn giống đồng_hồ em bé quá  
"
neutral,"278ppi dự là rỗ lòi mắt . Mà thôi giá rẻ bù lại
"
positive,"Ngon-Bổ-Rẻ . Làm 1 cái mới được !
"
positive,"Thằng ku em_trai đang dùng con galaxy_s_2_hd đến giờ màn vẫn ngon_lành , chỉ có tội máy giờ lỗi_thời hay đơ thôi . .
"
positive,"các bác cứ bình_luận thế_này thế nọ , các bác ko xem vi tivi à , hiện_nay iphone là Smartphone phổ_biến nhất trên thế_giới đó , đồng_nghĩa với việc iphone là smartphone được nhiều người trên thế_giới ưa_chuộng nhất . iphone là number one .
"
positive,"mình ko thất_vọng chút nào , thật tuyệt_vời iphone_7 ! ! chỉ đứng sau sangsung_s_7 thui ahjhj
"
neutral,"thấy phản_hồi bên china hơi tệ số_liệu k đúng lắm và vẫn có lỗi nhỏ ví_dụ như ngủ 8h chỉ báo 2h ? ? ? bác nào dùng zồi phản_hồi cái ạ )  
"
positive,"Ông vua sắp trở_lại rồi bạn ơi : )
"
neutral,"Tất_nhiên ở Mỹ , "" quê "" của AW thì tất_cả tính_năng sẽ được khai_thác hết . Tuy_nhiên mình không nghĩ ở VN nó không có tác_dụng . Nếu bạn là người làm_việc trong môi_trường bận_rộn , đi xe_hơi và phải di_chuyển nhiều thì ngay ở VN smartwatch cũng có nhiều tác_dụng . Có_chăng là mọi người đang sai_lầm về mong_muốn , tự đặt cho smart_watch một sứ_mệnh lớn_lao mà không đơn_thuần coi nó là một "" cánh_tay nối dài "" của smartphone . Mình rất thích so_sánh mối tương_quan smartwatch - smartphone với mối tương_quan smartphone - laptop . Nếu nhìn lại , ngoài nghe gọi nhắn_tin thì thời ký đầu smartphone chả làm được gì hơn laptop cả . Nhưng nếu đừng bắt nó phải làm "" nhiều hơn "" mà cần nó làm "" tiện hơn "" thì mộ thứ sẽ rõ_ràng hơn nhiều . Tất_nhiên smartphone mất 8-10 năm để huy_hoàng như ngày_nay thì smartwatch 2-3 năm nữa mà mỏng nhẹ pin trâu gấp đôi bây_giờ đã là thành_công lắm rồi . Để được coi là thứ hiển_nhiên nên có như smartphone hiện_nay thì chắc cũng phải 5-7 năm nữa
"
positive,"Mình dùng note_5 từ khi mở bán , nói_chung là hài_lòng . Hơi buồn vì bỏ mất cổng hồng_ngoại và không có thẻ nhớ mở_rộng .
"
positive,"Lên 4G cho oách
"
neutral,"Xiaomi hôm_nay chính_thức ra_mắt vòng đeo theo_dõi sức_khỏe Mi_Band_2 với màn_hình OLED hiển_thị thông_tin , thời_gian , bổ_sung thêm phím bấm mới , một_số chúc năng khác và đặc_biệt là thời_lượng pin được tuyên_bố là tới 20 ngày . Mỗi chiếc Mi_Band_2 sẽ có_giá vào_khoảng 22 đô_la và hiện hãng vẫn chưa cho_biết thời_điểm bán ra cụ_thể . Một_số điểm đáng chú_ý của Mi_Band_2 : Chức_năng theo_dõi luyện_tập thể_thao , đo nhịp tim và theo_dõi giấc_ngủ . Màn_hình OLED báo giờ , đếm bước và nhịp tim . Pin 20 ngày , chống nước IP67 . Gia_tốc kế ADI , cảm_biến đo nhịp tim bằng ánh_sáng . Nút siêu mỏng 0,05 mm Thuật_toán đo bước nâng_cấp so với phiên_bản đầu . Vòng đeo bằng silicon . Bluetooth_4.0 thế_hệ thứ 2 . Giá 22 đô_la . ​
"
negative,"Ẻo_lả và xấu vãi . .
"
negative,"em nghe đồn con này pin yếu mà dùng hay đơ lắm  
"
positive,"ngon quá zời  
"
negative,"﻿vô đây coi cam trc v_10 nè ko đẹp bằng g_4 nha : https : / / www.thegioididong.com/dtdd/lg-v10 LG_V1 0 Chính hãng | Thegioididong.com Smartphone LG_V1 0 của LG chính_thức lộ_diện với cấu_hình khủng : màn_hình QuadHD 5.7inch , Android 5.1 , CPU 6 nhân , RAM 4GB camera 16MP cùng viên Pin 3000mAh thegioididong.com v10 ko biet chứ tớ xài g_4 tuột pin đúng nghĩa tuột quần , cực hao pin  
"
positive,"Con này đẹp thật
"
negative,"Cầm 9tr đi mua cái Zenphone cũng hơi ngại thật !
"
neutral,"Ko hiểu , mình đi tập golf , quật 100 phát nó đã báo là đạt goal rồi Thực_ra goal đó hình_như nó căn theo lượng calories tiêu tốn chứ ko hẳn là số phút hay_sao đó . Phần này mình chưa để_ý kỹ nên chỉ trả_lời bạn được vậy thôi  
"
positive,"Mình đến bây_giờ vẫn giữ một em PS1 và vẫn chạy tốt  
"
negative,"Vừa ngó qua app trên GPlay thấy bị đánh_giá tệ quá ( điểm thấp ) , lại bắt phải cho truy_cập đủ thứ chứ !  
"
neutral,"giá rẻ vầy mua về nghịch ngon .  
"
negative,"﻿dang lo_ngai con cpu_820 lam hao pin va nong may  
"
positive,"Toàn ứng_dụng dạng dịch_vụ , lifestyle , ... mấy cái này ở VN thì chịu thôi . Tới giờ em vẫn thấy Pebble 99 đồng là thằng smartwatch đúng nghĩa duy_nhất , không nhằm mục_đích thay_thế đt . Đt bây_giờ cái nào cũng to như cái dép nên cái gì đơn_giản dùng smartwatch vẫn tiện hơn . Em dùng Pebble để đọc mail , tin nhắn , báo_thức , thời_tiết , đo GPS chạy bộ và đọc thông_báo từ đt .  
"
positive,"﻿Quá ngot . Bao_h về VN để múc một em nhỉ .
"
positive,"Con này quá ổn mà giá hạt_dẻ thế nhỉ . Dự là sẽ hot .
"
neutral,"Nhìn như mấy con Gear đầu của Sam nhỉ  
"
positive,"Thật_sự rất đẹp : ) Nhưng Note_5 còn quá tốt Chờ Note_8 sẽ mua
"
positive,"Bản 6.5 này được_cái theme đẹp hơn 6.1 , có thêm một_số tính_năng mới ( như regedit , sytem clear , java . . ) tuy_nhiên nó lại bớt đi coreplayer và đặc_biệt là putsmail ( trước_đây dùng bản 6.1 khi có mail thì microsoft exchange nó đẩy ngay về máy ) .  
"
positive,"Đã tải chụp ánh_sáng đẹp hơn camera i_Phone
"
negative,"﻿Không quan_tâm hàng trung_quốc .
"
positive,"Mình đang sài con này dùng cực thích .  
"
negative,"﻿Made in China . tôi tâ ̉ y_chay .
"
positive,"Quá tuyệt_vời , công nghê đi đầu với Tính_năng quét mống mắt trên note_7 hoạt_động khá nhanh không giống như tính_năng mở bằng vân tay vì nhiều khi_không nhạy và nhanh bằng . năm 2017 sẽ lại có hàng_loạt các hãng smartphone khác đưa công_nghệ này lên sản_phẩm của mình cho xem .
"
negative,"Cùi lắm
"
neutral,"Giống m bản 38 cũng bị 1 lần như_vậy , tưởng hỏng luôn rùi , reboot lại ngon . M nghĩ chắc bị crash  
"
negative,"Hàng cty cấp , cấp xong vứt ở nhà , xài con Xornet cho đỡ mỏi tay . Cơ_mà vẫn thắc_mắc là dong thấp nhất , nhưng éo bằng con misumi giá bằng 1/3 .  
"
positive,"Note_7 Chụp đẹp quá
"
positive,"Note_4 của mình đang đầy_đủ tính_năng của Note_5 và sắp tới sẽ là note_7 hehe
"
positive,"cấu_hình ngon , mua về rồi lên vỏ 6 cũng được
"
negative,"Ngoài việc "" chạy theo "" thì "" ăn_theo "" cũng là 1 sở_trường của Samsung ! ? !
"
neutral,"Mình cũng có 1 cái thắc_mắc là smartphone phát_triển ngày_càng to ra để phục_vụ cái nhu_cầu dù xài cho mục_đích di_động nhưng vẫn sướng cái tai , "" đã con mắt "" giờ 1 cơ_số người lại vì cái "" kích_thước vốn để sướng ấy "" tìm lại mấy thứ nhỏ , thậm_chí nhỏ tí như màn_hình trên 1 cái smartwatch , thử_hỏi cách đây vài năm đưa ra 2 lựa_chọn , 1 cái smartphone kích_thước nhỏ gọn tiện mang đi , đáp_ứng đủ nhu_cầu với việc xài 1 cái phone to "" tổ_bố "" nhiều khi phải nhét balo rồi dấn thêm cái đồng_hồ màn nhỏ tí để xài cái phone đấy hiệu_quả hơn thì các bạn chọn cái nào vậy nên đọc báo trên smartwatch , giải_trí trên smartwatch nó "" hơi "" đi ngược với phát_triển của smartphone , bỏ thêm vào cho thấy ta_đây nhiều tính_năng ?  
"
negative,"nếu đúng camera kép mà lồi thế kia thì ghớm chết
"
positive,"thật không_thể tin được , thật không_thể tin được ...
"
negative,"Mặt trước giống iphone . Mặt sau giống samsung .
"
neutral,"Khen hay chê mình đều ok , vấn_đề mình nói là có những người k hề thk cũng chẳng có nhu_cầu đối_với 1 số sản_phẩm nhưng vẫn vào comment những vấn_đề k mang tính đóng_góp , chia_sẻ hay cảm_nhận mà chỉ muốn gạch đá cho vui . Ví_dụ như bạn chẳng_hạn ) mình chẳng hề có ý_định khuyên ai nên chả có j phí công cả , ai đọc comment của mình hay k mình cũng chẳng quan_tâm , nhìn thấy ngứa_mắt thì nói mấy câu cho vui thôi ) Qua comment của bạn thì mình biết bạn chưa đc tiếp_xúc với những sản_phẩm smartwatch nên thắc_mắc của bạn cực_kì ngô_nghê ) ngta đeo AW đi ngủ cũng là bình_thường vì trên smartwatch có tính_năng theo_dõi giấc_ngủ và rung báo_thức tránh ảnh_hưởng đến ng nằm bên_cạnh ... hiểu chửa ? ? ) ) ) ) ) ) ) Mình k có ý_định khuyên_bảo bạn nên thôi chấm_dứt ở đây , mình k có nhu_cầu đọc những lời khuyên vớ_vẩn của bạn  
"
neutral,"Chuột ngon nhưng ghét mỗi_tội là mấy miếng đệm quá kém !  
"
neutral,"e nó < 3 pin sài xũng 2 ngày á  
"
positive,"Thật nực_cười , nhiều người cứ chê_cười IP nhưng chả có loại phone nào ra lại được mong_chờ và hot như IP cả . Ở cơ_quan tôi 10 người dùng phone thì_có đến 8 người là IP .
"
neutral,"Để mình thử cập_nhật xme sao tại đang dùng 10.10.5 ? ? ? Mình mới từ win chuyển sang mac . Lúc đầu cũng tính mua con magic-mouse nhưng cầm nó bé quá nên chuyển sang con MX này ... . .
"
positive,"Note_7 có Corning_Gorilla_Glass_5 không trầy rớt 1 met 6 thì không bể
"
neutral,"Phần calories thì em vượt xa mục_tiêu nhưng phần Exercise tính theo phút tập_luyện thì không đạt !  
"
positive,"Sony_x_2 vs bb đẹp mê_hồn
"
neutral,"1.75 triệu sao chơi đây , thôi dùng tạm con G502 Proteus_Core_Gaming_Mouse 1.2tr mới mua vậy .  
"
positive,"﻿Kiểu dáng hoàn_hảo quá .
"
neutral,"Đen nỗi chỗ mình họ chưa bán vivosmart_HR+ . Chứ cái HR cũ pin chán lắm . Con đấy pin đánh_giá trên the verge 1 tuần cơ nên là tiếp_tục mua fitbit_blaze dùng mất rồi . Pin cũng khá trâu được gần 5 ngày .
"
negative,"﻿Hàng Tq thì vĩnh_biệt , 16MB tq giống như xe_máy : con dream tq cũng 110cc , hơn_nữa , chưa kể phần_mềm độc_hại ...
"
positive,"hàng xiaomi công_nhận ngon bổ rẻ thật , đang dùng 1 em mipad_2 , 1 mi5 , 1 mi_pulse_s , ngoài mấy app khựa ra thì ko có gì để phàn_nàn  
"
positive,"Mình chỉ thích samsung . Kaka
"
positive,"Rất thích thiết_kế dòng A , nếu nó chạy ios nữa thì tuyệt
"
neutral,"Smartphone hiện_giờ rất khó để đột_phá nữa , nên người_ta mới tạo ra wearable_devices . SmartWatch là sp nổi_bật nhất trong mấy cái đó rồi .
"
positive,"Nếu mình có 4 triệu mình sẽ mua Obi_MV1 , con này giá đúng_ra chỉ có 3,1 triệu thôi . Bạn mình cũng mới mua 1 con tuần trước . Khá đẹp
"
neutral,"Dây này bác mua ở đâu bao_nhiu thế
"
neutral,"Phát_hiện thú_vị đó bạn , hay nó xoay màn_hình như điện_thoại ko ta , kiểu detect để tay kiểu đó thì_là ổng đâu có coi , để cho người khác coi .  
"
positive,"Mình thích màu đen mới của iphone_7
"
negative,"Dù trang_bị kính cường_lực mấy đi_chăng_nữa thì người_ta vẫn đem đt đi dán màn_hình mà thôi . Chưa kể bây_giờ các hãng còn đua nhau làm màn_hình cong với cả kính cong 2,5 D làm cho việc dán màn_hình càng bị xấu nữa : ) )
"
negative,"Hiển_thị kém thì mất tác_dụng nhỉ  
"
negative,"﻿iPhone_7 như hình thì hok đáng để mua . xấu hơn chữ xấu dưới chữ tệ . hết thời
"
neutral,"u cha , chỉ cần 2 con này raid 0 với nhau chắc thánh và 1 dàn máy_tính_cá_nhân đạt mức 1 tỉ đồng là 1 điều không xa_vời nữa rồi  
"
negative,"đọc tên là thấy tàu rồi . Phần_mềm này tự_động cài các loại mã độc vào file trong máy_tính để ăn_cắp thông_tin và phá_hoại máy_tính người dùng . đến cả cái qq của tencent cũng là ăn_cắp từ icq và yahoo để nhái thì_có gì đáng tin
"
negative,"﻿Sao mình thử dơ game của s_2 mà vẫn k chơi đc nhỉ , toàn bị bắt_buộc đóng ứng_dụng  
"
negative,"Thấy cái ứng_dụng vào việc đọc báo của bạn này hơi bị gượng_gạo và hài_hước . Với cái màn_hình bé_tí của aw thì việc đọc bài báo 100 từ cũng đã mệt_mỏi rồi . Đưa cái việc đọc báo ra là để cố_gắng nói cái lợi_ích của nó chứ thực_tế mình mở đt đọc cho sướng mắt chứ đọc trên cái aw làm_gì ? Bản_đồ cũng thế . Rất khó_khăn để nhìn đc và nhìn các vùng . Phải thao_tác trên phone trước rồi chuyển sang nhìn đồng_hồ . Khá rắc_rối , đc cái ko phải cầm phone coi thôi . Nói_chung là bài viết không phù_hợp ở Vietnam . Có_khi tiếng anh của bạn này chưa đủ để chém trên trang nước_ngoài nên viết tiếng việt ở đây nên dịch và chuyển qua bên Mẽo để đúng với mục_đích  
"
positive,"sau 3 ngày mát thì có_vẻ nó chạy lại ngon rồi So với misfit rất ổn luôn  
"
positive,"Quá tuyệt_vời ... . điều mà tôi mong_mỏi ... tôi iu Apple .
"
neutral,"phải có lợi hơn ( cho người VN ) thì ng ta mới thích chứ ? thêm nữa_là như ví_dụ của mình , cho con_cái dùng sw thay_vì điện_thoại ? đâu thấy 2 sim xuất_hiện ? mình nói thêm là vấn_đề sw có sim nó khác việc dùng đt 2 sim hoặc dùng 2 cái điện_thoại 1 sim . cái sim trên sw là để kết_nối được liên_tục , phạm_vi rộng và chủ_động hơn .  
"
positive,"Em dùng con pulse khi đá bóng Có màn hiển_thị thì ngon quá  
"
negative,"Sony luôn đưa ra giá bán trên trời . Đó là lý_do hàng bán không chạy .
"
negative,"﻿Thiết_kế ý_tưởng tương_tự nhưng xấu hơn cả iphone_2 . Ghét nhất Samsung là cái camera lồi , iphone_6 lồi lên là cạch mặt luôn . Giờ iphone_7 thiết_kế đã xấu mà_còn lồi nữa thì hết ý_kiến .
"
positive,"đẹp thế , cho m lấy luôn
"
neutral,"năm đó mình mua 250GB có 780k à mà  
"
neutral,"chờ thế_hệ 2 chắc sẽ có camera để facetime  
"
positive,"Thiết_kế máy đẹp . mong_chờ để được dùng thử .  
"
positive,"Mát nhất trong đám , đẹp nhất , to nhất , hiệu_năng cao nhất , bảo_hành lâu nhất và giá thì cao nhất . Kể_ra tầm 8.5 củ thì hợp_lý , đủ đè hết đám Gaming của giga và MSI .  
"
neutral,"tính mua cắm android box xem sợ hdd nó chậm  
"
positive,"﻿Toàn thấy các bạn kêu dòng Z bị lỗi trong khi mình dùng dòng C rẻ_tiền nhất của Sony thì 2 năm vẫn chạy ngon .
"
negative,"Mình đang sở_hữu 2 con F05d thấy nản_lòng . nói_chung ĐT Nhật ko còn đọc đáo như xưa nữa . dùng rất nản do bị hạn_chế phần_mềm . mẫu ĐT thì xấu phải_biết . bấy_giờ có KOREA hỗ_trợ hàng nội_địa đẹp hơn hẳn mấy em JAPAN . Hàng JAPAN bây_giờ XT về mệt_mỏi lắm , đa_phần đem về biến thành cục GẠCH cho con_cháu ở nhà chạc dép chơi  
"
negative,"﻿S6_edge iron_man vẫn đẹp hơn, màu đen như này không nổi lắm
"
positive,"Camera đẹp thiệt    
"
positive,"gear_fit mà pin kém gì . . mình dùng vẫn 4-5 ngày k kết_nối . . kết_nối liên_tục đc 3 ngày ... xem đc các thứ ok  
"
positive,"Em định kiếm con 301f bác Nhnhat29982 dùng qua chưa cho e xin ít đánh_giá với . định làm con cho mama dùng . thấy cũng đẹp Chả nhẽ lại làm thêm con f_05f  
"
positive,"Quá tuyệt_vời
"
positive,"Là camera s_7 mà , có gì mà phải review thêm .
"
neutral,"A cho e hỏi bề rộng cổ_tay a chỗ đeo đồng_hồ là bao_nhiêu cm ạ  
"
neutral,"Không có bạn ạ  
"
neutral,"Mình vẫn đánh_bóng đồng_hồ và đồ inox bóng bằng kem đánh răng + tàn thuốc_lá + vải mềm ! Ngon_lành luôn  
"
positive,"iPhone_6s_plus vẫn thấy đẹp hơn !
"
positive,"Xiaomi_Mi 4 dưới 3tr , có LTE , bền vô đối . Lấy 2 màn_hình của Mi4 và Bphone đập vào nhau đến khi bể thì Bphone nứt , Mi4 không xi nhê gì . Thả từ độ cao 1m xuống nền gạch vài lần Bphone vỡ , mi4 chỉ bật nắp lưng ... Quá khủng cho hàng "" hạt rẻ "" mà chất . ( Đã dùng hơn 1 năm từ lúc giá 6 củ và rất hài_lòng )
"
neutral,"vòng đeo sức_khoẻ thì fitbit là ngon nhất , dưng cũng đắt nhất  
"
positive,"Đang xài MX1 . Dùng bình_thường ngon , pin trâu . Mỗi_tội 2-3 thằng cùng dùng mà ngồi một chỗ thì cà giựt cà tang . Chắc bị lẫn vào nhau .  
"
positive,"Đang dùng Note_5_Dual thấy rất tiện_dụng vì cây_viết rất tiện_dụng cho việc đánh_dấu và noted các file pdf và file hình . Chắc sẽ ổn_định với e nó thêm 1 năm nữa .
"
positive,"Em cũng đang sài một con đến từ Nhật_Bản , rất tốt rất bác ạ .  
"
negative,"Mình cắm ra loa mini mà_còn không nghe nổi  
"
positive,"Đẹp à
"
positive,"Tuyệt . . QUÁ ĐẸP . . QUÁ HOÀN_HẢO
"
positive,"cái anh thấy là giao_diện của winpro bên dòng máy khác thì_phải , còn cái này đúng là rom 6.5 smartphone mà , nó tương_tự rom 6.1 thêm một_ít tiện_ích và chức_năng , đặc_biệt chạy ít hao pin . .  
"
positive,"Note_3 của mình còn chưa chịu hóng đây nè . Nhưng chắc_chắn sẽ lên Note_7 thôi
"
negative,"﻿Xài s_7edge suong hon
"
positive,"mình đang hài_lòng với con note_3 của mình
"
positive,"Thiet_ke cua USA van number one !
"
positive,"5s , 5c sim ghép ở vn ok bạn nhé . Giá khoảng 700k . xài như quốc_tế , softbank thì chả có lỗi gì cả .  
"
negative,"ổ_cứng dung_lượng này thì một thời_gian là đầy rất ức_chế . mấy con này dùng cho cá_nhân thì ko ổn roài . lấy con E200 của Asus cũng mỏng nhẹ vầy có ổ SSD ngon hơn  
"
negative,"mình thì làm rồi , nhưng thử đủ mọi cách mà nó ko có nhận ra , và báo ko tìm thấy rom nào để up cả , mình cố đổi tên file nhưng vẫn ko đc . Híc . Chắc phải đợi hướng_dẫn cho riêng dòng này .  
"
positive,"Mình đã thử rồi ! Ứng_dụng này chu ̣ p hình đẹp ... IOS_9 nên tải về !
"
neutral,"1 Tháng mới sạc 1 lần , nên việc tháo ra tháo vào ko ảnh_hưởng mấy đâu . Mà dây của nó có 90k thôi .  
"
